City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Lumphat,KH,2022-06-16 10:41:09,13.4878,106.9816,82.49,85,69,3.62
187,Samarai,PG,2022-06-16 10:41:09,-10.6167,150.6667,81.01,80,99,6.98
188,Rach Gia,VN,2022-06-16 10:38:53,10.0167,105.0833,84.13,75,80,10.58
189,Esperance,AU,2022-06-16 10:41:10,-33.8667,121.9,61.65,59,0,8.93
190,Omsukchan,RU,2022-06-16 10:41:10,62.5333,155.8,46.02,80,83,6.42
191,Huaiyuan,CN,2022-06-16 10:41:10,32.973,117.1995,94.5,32,4,16.13
192,Port Elizabeth,ZA,2022-06-16 10:41:10,-33.918,25.5701,62.1,50,0,6.91
193,Bengkulu,ID,2022-06-16 10:38:16,-3.8004,102.2655,80.02,80,99,2.93
194,Ilva Mare,RO,2022-06-16 10:41:10,47.3667,24.9,69.73,43,60,6.82
195,Ipixuna,BR,2022-06-16 10:41:10,-1.7625,-48.8043,74.44,78,98,2.66
196,Mapiripan,CO,2022-06-16 10:41:10,2.8892,-72.1256,69.94,97,94,2.08
197,Mahebourg,MU,2022-06-16 10:41:10,-20.4081,57.7,78.26,73,40,17.27
198,Sioux Lookout,CA,2022-06-16 10:41:11,50.1001,-91.917,55.47,94,100,6.91
199,Thompson,CA,2022-06-16 10:41:11,55.7435,-97.8558,55.56,82,75,11.5
200,Zavodoukovsk,RU,2022-06-16 10:41:11,56.5042,66.5515,75.51,43,1,8.79
201,Comodoro Rivadavia,AR,2022-06-16 10:41:12,-45.8667,-67.5,42.66,56,0,8.05
202,Ingham,US,2022-06-16 10:41:12,42.6,-84.3833,77.18,90,75,0.0
203,Hauterive,FR,2022-06-16 10:41:12,46.0901,3.4459,84.96,34,71,4.7
204,Dutse,NG,2022-06-16 10:41:12,11.7594,9.3392,91.0,39,95,6.89
205,Superior,US,2022-06-16 10:41:12,46.7208,-92.1041,67.48,60,0,16.11
206,Port Augusta,AU,2022-06-16 10:41:12,-32.5,137.7667,53.94,71,2,3.36
207,Petatlan,MX,2022-06-16 10:41:13,17.5167,-101.2667,74.71,97,100,6.38
208,Guiratinga,BR,2022-06-16 10:40:49,-16.3494,-53.7583,69.37,64,0,3.06
209,Constitucion,CL,2022-06-16 10:41:13,-35.3333,-72.4167,48.07,88,6,5.01
210,Haimen,CN,2022-06-16 10:41:13,23.1935,116.6142,78.69,89,99,6.46
211,Kabare,CD,2022-06-16 10:41:14,-2.4683,28.8242,75.02,56,41,5.35
212,Eureka,US,2022-06-16 10:41:14,40.8021,-124.1637,55.92,84,100,1.03
213,Muravlenko,RU,2022-06-16 10:41:14,63.7898,74.523,66.02,64,100,23.33
214,Vilhena,BR,2022-06-16 10:41:14,-12.7406,-60.1458,67.51,81,0,3.11
