City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Bordei Verde,RO,45.0833,27.5667,74.91,44,67,7.23,broken clouds
257,Garden City,US,42.3256,-83.331,86.88,73,40,19.57,scattered clouds
258,Kashi,CN,39.4547,75.9797,79.81,17,40,22.37,scattered clouds
259,Nadym,RU,65.5333,72.5167,55.96,49,59,15.39,broken clouds
260,Lorengau,PG,-2.0226,147.2712,81.77,77,76,9.01,broken clouds
261,Clyde River,CA,70.4692,-68.5914,30.43,93,100,25.32,light snow
262,Pekan,MY,3.4836,103.3996,82.51,88,100,5.73,overcast clouds
263,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,71,75,17.27,broken clouds
264,Gambela,ET,8.25,34.5833,84.49,50,84,0.96,broken clouds
265,Cabo Rojo,PR,18.0866,-67.1457,87.98,77,100,5.99,overcast clouds
266,Lyuban,BY,52.7985,28.0048,63.39,77,100,4.56,overcast clouds
267,Yarada,IN,17.65,83.2667,86.32,84,75,9.22,thunderstorm
268,Ewa Beach,US,21.3156,-158.0072,75.43,78,0,8.05,clear sky
269,Cidreira,BR,-30.1811,-50.2056,67.8,61,14,1.9,few clouds
270,Kharp,RU,66.8014,65.8081,65.48,44,19,5.35,few clouds
271,Najran,SA,17.4924,44.1277,95.65,12,0,11.27,clear sky
272,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,70,0,13.8,clear sky
273,Launceston,AU,-41.45,147.1667,42.44,87,4,4.61,clear sky
274,Sinnamary,GF,5.3833,-52.95,82.53,71,62,6.02,broken clouds
275,Bay Roberts,CA,47.5999,-53.2648,69.55,54,0,8.14,clear sky
276,Birin,NP,26.8865,88.0718,62.6,93,78,2.95,broken clouds
277,Gornoye Loo,RU,43.7129,39.6049,74.98,72,16,6.29,few clouds
278,Camacha,PT,33.0833,-16.3333,69.22,68,0,12.66,clear sky
279,Balkhash,KZ,46.844,74.9804,72.52,41,7,0.78,clear sky
280,Sainte-Maxime,FR,43.3,6.6333,94.98,70,13,6.22,few clouds
281,Kloulklubed,PW,7.0419,134.2556,75.7,77,99,8.77,overcast clouds
282,Lucapa,AO,-8.4192,20.7447,82.65,23,46,3.47,scattered clouds
283,Bronnoysund,NO,65.4625,12.1997,51.8,93,75,7.0,broken clouds
284,Maningrida,AU,-12.0667,134.2667,70.68,74,12,10.58,few clouds
285,Yenagoa,NG,4.9247,6.2642,73.42,97,100,6.13,light rain
286,Luena,AO,-11.7833,19.9167,72.09,29,44,4.0,scattered clouds
287,Lashio,MM,22.9333,97.75,68.0,99,100,1.72,overcast clouds
288,Tuatapere,NZ,-46.1333,167.6833,42.91,80,95,0.47,overcast clouds
289,Korla,CN,41.7597,86.1469,84.97,25,100,25.46,overcast clouds
290,Grand Gaube,MU,-20.0064,57.6608,74.37,67,37,5.01,scattered clouds
291,Ambulu,ID,-8.345,113.6058,76.32,90,78,3.58,broken clouds
292,Shiroishi,JP,38.0033,140.6183,65.03,88,100,3.89,overcast clouds
293,Fairbanks,US,64.8378,-147.7164,58.24,79,100,5.75,overcast clouds
294,Kerema,PG,-7.9631,145.7785,77.59,90,83,5.53,broken clouds
295,Manggar,ID,-2.8833,108.2667,80.22,78,82,2.89,broken clouds
296,Barra Patuca,HN,15.8,-84.2833,80.58,78,100,2.59,overcast clouds
297,Hami,CN,42.8,93.45,87.04,22,40,20.62,scattered clouds
298,Dikson,RU,73.5069,80.5464,35.53,96,100,8.16,overcast clouds
299,Kaluga,RU,54.5,35.5,61.86,72,37,7.05,scattered clouds
300,Half Moon Bay,US,37.4636,-122.4286,67.53,75,100,13.8,overcast clouds
301,Emerald,AU,-23.5333,148.1667,59.34,73,81,11.68,broken clouds
302,Rincon,US,32.296,-81.2354,89.91,68,75,3.44,broken clouds
303,Sa Kaeo,TH,13.75,102.3333,79.75,80,100,4.92,overcast clouds
304,Iqaluit,CA,63.7506,-68.5145,40.73,65,40,18.41,scattered clouds
305,Douentza,ML,14.9951,-2.9517,99.73,27,77,20.49,broken clouds
306,Saint-Denis,FR,48.9167,2.3333,87.24,28,0,8.05,clear sky
307,Yuli,NG,9.6989,10.2744,89.42,49,100,6.58,overcast clouds
308,Middelburg,ZA,-25.7751,29.4648,47.39,20,0,3.58,clear sky
309,Marawi,PH,7.9986,124.2928,69.03,94,99,1.88,overcast clouds
310,Adrar,MR,20.5022,-10.0711,109.04,6,6,15.84,clear sky
311,Rusape,ZW,-18.5278,32.1284,56.79,61,0,6.93,clear sky
312,Namibe,AO,-15.1961,12.1522,72.23,73,40,11.5,scattered clouds
313,Sabha,LY,27.0377,14.4283,92.8,14,0,11.68,clear sky
314,Buraydah,SA,26.326,43.975,108.05,8,0,10.07,clear sky
315,Shache,CN,38.4167,77.2406,83.71,16,61,20.18,broken clouds
316,Necochea,AR,-38.5473,-58.7368,53.31,69,92,8.68,overcast clouds
317,Ribeira Grande,PT,38.5167,-28.7,73.8,78,20,17.27,few clouds
318,Elat,IL,29.5581,34.9482,100.24,27,0,17.27,dust
319,Durango,MX,24.8333,-104.8333,71.24,38,50,11.61,scattered clouds
