City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Bengkulu,ID,77.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
424,Bastrop,US,89.28,clear sky,32.7562,-91.8724,Best Budget Inn
429,Kindu,CD,83.03,overcast clouds,-2.95,25.95,Résidence Okanda
431,Minuri,PH,75.88,overcast clouds,16.535,121.8574,
432,Emmen,NL,75.85,few clouds,52.7792,6.9069,"Hotel ten Cate, Hotel (in) Emmen"
433,Jiuquan,CN,76.86,broken clouds,39.7432,98.5174,Jiuquan Hotel
440,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
444,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
448,Touros,BR,84.4,clear sky,-5.1989,-35.4608,INN NEW HORIZON
458,Bardiyah,LY,78.49,clear sky,31.7561,25.0865,بورتو بردية
459,Belmonte,BR,76.89,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
460,Antibes,FR,87.84,few clouds,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
461,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
462,Moerai,PF,75.31,broken clouds,-22.4333,-151.3333,Le Manotel
469,Omboue,GA,76.57,overcast clouds,-1.5746,9.2618,Hotel Olako
470,Lasem,ID,78.76,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
471,Vao,NC,75.22,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
472,Marrakesh,MA,89.67,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
475,North Platte,US,77.11,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
476,Quepos,CR,80.62,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
478,Gbadolite,CD,83.19,overcast clouds,4.2833,21.0167,Zenic
481,Noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
487,Cayenne,GF,83.08,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
489,Comendador,DO,85.1,overcast clouds,18.8775,-71.7028,Babina De Los Santos
492,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
494,Loandjili,CG,78.91,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
502,Waterlooville,GB,82.2,overcast clouds,50.8807,-1.0304,Premier Inn Portsmouth Havant hotel
506,Madang,PG,77.29,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
510,Kosonsoy,UZ,75.76,overcast clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
512,Aitape,PG,77.95,moderate rain,-3.1374,142.3475,
513,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
514,Porto Walter,BR,86.72,scattered clouds,-8.2686,-72.7439,Hotel Silva
517,Vengurla,IN,80.28,overcast clouds,15.8667,73.6333,Golven Resort
522,Bintulu,MY,79.21,thunderstorm,3.1667,113.0333,900 Boutique INN
523,Halifax,CA,77.34,scattered clouds,44.6453,-63.5724,Hotel Halifax
524,Kralendijk,BQ,87.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
526,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
527,Houma,US,90.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
530,Bonthe,SL,82.33,light rain,7.5264,-12.505,Bonthe Holiday Village
534,Itupiranga,BR,88.12,broken clouds,-5.1347,-49.3267,Hotel Panorama
